(venv) root@vbox:/home/vboxuser/lstm/codes# python collect_data.py
==========================================================================================
  Floodlight 3-Controller Metrik Toplama
  Log: real_time_metrics.log | Ctrl+C ile durdur
==========================================================================================
    # |               Zaman | Ctrl |   CPU% |   Mem% |  HeapMB |    HGrow |  pCPU% |     RTT
------------------------------------------------------------------------------------------
   32 | 2026-03-07 15:14:29 |   c2 |   29.0 |   39.6 |   125.3 |   121386 |   28.5 |    14.9
   32 | 2026-03-07 15:14:30 |   c3 |   47.6 |   51.3 |   169.5 |   390208 |   23.0 |    14.3
   33 | 2026-03-07 15:14:31 |   c1 |   26.4 |    0.0 |       - |        0 |    0.0 |     0.0
   33 | 2026-03-07 15:14:31 |   c2 |   31.7 |   39.6 |   125.5 |   108659 |   28.3 |    15.4
   33 | 2026-03-07 15:14:32 |   c3 |   46.9 |   51.4 |   169.6 |    54759 |   22.8 |    12.1
   34 | 2026-03-07 15:14:33 |   c1 |   28.7 |    0.0 |       - |        0 |    0.0 |     0.0
   34 | 2026-03-07 15:14:33 |   c2 |   43.5 |   39.8 |   126.1 |   242533 |   28.1 |    12.0
   34 | 2026-03-07 15:14:34 |   c3 |   43.9 |   51.4 |   169.9 |   118727 |   22.7 |    16.3
   35 | 2026-03-07 15:14:35 |   c1 |   23.1 |    0.0 |       - |        0 |    0.0 |     0.0
   35 | 2026-03-07 15:14:35 |   c2 |   27.1 |   39.9 |   126.4 |   142464 |   27.9 |    14.9
   35 | 2026-03-07 15:14:36 |   c3 |   74.0 |   52.4 |   173.1 |  1412630 |   22.7 |    16.6
   36 | 2026-03-07 15:14:38 |   c1 |   51.9 |    0.0 |       - |        0 |    0.0 |     0.0
   36 | 2026-03-07 15:14:39 |   c2 |   66.2 |   41.0 |   129.7 |  1064995 |   28.0 |    14.0
   36 | 2026-03-07 15:14:39 |   c3 |   73.9 |   55.9 |   184.5 |  3684296 |   22.8 |    34.6
   37 | 2026-03-07 15:14:41 |   c1 |   53.4 |    0.0 |       - |        0 |    0.0 |     0.0
   37 | 2026-03-07 15:14:41 |   c2 |   60.9 |   42.0 |   132.9 |  1217087 |   28.0 |    21.2
   37 | 2026-03-07 15:14:42 |   c3 |   63.0 |   37.6 |   124.3 | -22449629 |   22.8 |    15.3
  Floodlight 3-Controller Metrik Toplama
  Log: real_time_metrics.log | Ctrl+C ile durdur
==========================================================================================
    # |               Zaman | Ctrl |   CPU% |   Mem% |  HeapMB |    HGrow |  pCPU% |     RTT
------------------------------------------------------------------------------------------
