
(venv) root@vbox:/home/vboxuser/lstm/codes# python collect_data.py
SSH bağlantıları kuruluyor...
  SSH bağlantısı kuruldu: 192.168.56.136
  SSH bağlantısı kuruldu: 192.168.56.137
  SSH bağlantısı kuruldu: 192.168.56.139
==========================================================================================
  Floodlight 3-Controller Metrik Toplama
  Log: real_time_metrics.log | Ctrl+C ile durdur
==========================================================================================
    # |               Zaman | Ctrl |   CPU% |   Mem% |  HeapMB |    HGrow |  pCPU% |     RTT
------------------------------------------------------------------------------------------
   48 | 2026-03-01 22:13:47 |   c1 |    1.1 |   47.3 |   124.2 |   137507 |    6.8 |     9.4
   48 | 2026-03-01 22:13:47 |   c2 |    1.0 |   36.7 |   121.1 |   161261 |    6.7 |     8.6
   48 | 2026-03-01 22:13:49 |   c3 |    1.0 |   55.8 |   175.8 |   276296 |    6.2 |    30.6
   49 | 2026-03-01 22:13:51 |   c1 |    2.9 |   47.8 |   125.7 |   360885 |    6.7 |    14.6
   49 | 2026-03-01 22:13:52 |   c2 |    0.0 |   37.1 |   122.4 |   294774 |    6.6 |    13.9
   49 | 2026-03-01 22:13:53 |   c3 |    2.2 |   56.5 |   178.1 |   534345 |    6.1 |    43.9
   50 | 2026-03-01 22:13:55 |   c1 |    1.7 |   48.1 |   126.4 |   187819 |    6.7 |    69.4
   50 | 2026-03-01 22:13:56 |   c2 |    1.0 |   37.3 |   123.0 |   156885 |    6.6 |    36.1
   50 | 2026-03-01 22:13:57 |   c3 |    2.0 |   56.7 |   178.7 |   154442 |    6.0 |     9.7
   51 | 2026-03-01 22:13:59 |   c1 |    4.0 |   48.6 |   127.5 |   285777 |    6.6 |    58.4
   51 | 2026-03-01 22:13:59 |   c2 |    1.0 |   37.7 |   124.4 |   359453 |    6.5 |     7.8
   51 | 2026-03-01 22:14:01 |   c3 |    1.0 |   57.7 |   182.0 |   857515 |    5.9 |    17.0
   52 | 2026-03-01 22:14:03 |   c1 |    2.1 |   48.6 |   127.7 |    38395 |    6.5 |     9.4
   52 | 2026-03-01 22:14:04 |   c2 |    0.7 |   37.7 |   124.5 |    31175 |    6.4 |    36.9
   52 | 2026-03-01 22:14:05 |   c3 |    1.0 |   57.7 |   182.0 |        0 |    5.8 |    34.7
   53 | 2026-03-01 22:14:07 |   c1 |    3.1 |   49.5 |   130.1 |   519587 |    6.4 |     9.0
   53 | 2026-03-01 22:14:08 |   c2 |    4.0 |   38.3 |   126.2 |   394712 |    6.4 |    16.5
   53 | 2026-03-01 22:14:09 |   c3 |    3.8 |   58.3 |   183.6 |   406209 |    5.8 |     6.3
   54 | 2026-03-01 22:14:11 |   c1 |    0.9 |   49.8 |   130.7 |   153937 |    6.3 |     9.0
   54 | 2026-03-01 22:14:12 |   c2 |    0.0 |   38.6 |   127.3 |   266121 |    6.3 |    10.5
   54 | 2026-03-01 22:14:13 |   c3 |    1.9 |   59.0 |   185.8 |   539373 |    5.8 |    15.5
   55 | 2026-03-01 22:14:15 |   c1 |    2.1 |   49.8 |   130.9 |    44518 |    6.2 |     8.9
   55 | 2026-03-01 22:14:16 |   c2 |    1.1 |   38.7 |   127.5 |    34917 |    6.2 |    21.6
   55 | 2026-03-01 22:14:17 |   c3 |    1.1 |   59.0 |   186.0 |    48709 |    5.7 |    21.9
   56 | 2026-03-01 22:14:19 |   c1 |    2.0 |   50.4 |   132.5 |   414140 |    6.3 |     8.0
   56 | 2026-03-01 22:14:20 |   c2 |    2.4 |   39.3 |   129.7 |   574542 |    6.4 |    24.3
   56 | 2026-03-01 22:14:21 |   c3 |    2.0 |   60.2 |   189.7 |   942637 |    5.6 |    13.3
   57 | 2026-03-01 22:14:23 |   c1 |    1.1 |   50.5 |   132.6 |    45115 |    6.2 |    47.9
   57 | 2026-03-01 22:14:24 |   c2 |    1.1 |   39.4 |   129.9 |    56259 |    6.3 |    16.6
   57 | 2026-03-01 22:14:25 |   c3 |    3.1 |   60.3 |   190.1 |    98641 |    5.6 |     7.6
   58 | 2026-03-01 22:14:27 |   c1 |    3.3 |   50.5 |   132.6 |        0 |    6.1 |    17.3
   58 | 2026-03-01 22:14:28 |   c2 |    0.0 |   39.4 |   130.0 |    37364 |    6.2 |     6.6
   58 | 2026-03-01 22:14:29 |   c3 |    3.1 |   60.5 |   190.5 |    99563 |    5.5 |    22.0
   59 | 2026-03-01 22:14:31 |   c1 |    2.1 |   51.0 |   134.0 |   358099 |    6.1 |    17.1
   59 | 2026-03-01 22:14:31 |   c2 |    1.1 |   40.0 |   131.9 |   489819 |    6.2 |    24.1
   59 | 2026-03-01 22:14:33 |   c3 |    3.8 |   61.6 |   194.1 |   947054 |    5.5 |    29.4
   60 | 2026-03-01 22:14:35 |   c1 |    5.7 |   51.3 |   134.9 |   208690 |    6.0 |    68.5
   60 | 2026-03-01 22:14:36 |   c2 |    0.0 |   40.3 |   132.8 |   211561 |    6.1 |    21.7
   60 | 2026-03-01 22:14:37 |   c3 |    3.2 |   61.7 |   194.6 |    88242 |    5.5 |     9.1
   61 | 2026-03-01 22:14:39 |   c1 |    0.0 |   52.0 |   136.6 |   417476 |    6.0 |    26.8
   61 | 2026-03-01 22:14:40 |   c2 |    0.0 |   40.8 |   134.4 |   380744 |    6.0 |    22.3
   61 | 2026-03-01 22:14:41 |   c3 |    1.0 |   62.8 |   198.0 |   879753 |    5.5 |    17.9
   62 | 2026-03-01 22:14:43 |   c1 |    2.2 |   52.1 |   136.9 |    64516 |    6.0 |    13.7
   62 | 2026-03-01 22:14:44 |   c2 |    1.1 |   40.8 |   134.5 |    23167 |    6.0 |     6.3
   62 | 2026-03-01 22:14:45 |   c3 |    1.1 |   62.8 |   198.0 |        0 |    5.4 |     8.7
   63 | 2026-03-01 22:14:47 |   c1 |    1.1 |   52.2 |   137.2 |    90431 |    5.9 |    17.5
   63 | 2026-03-01 22:14:47 |   c2 |    1.1 |   40.8 |   134.5 |        0 |    5.9 |    54.1
   63 | 2026-03-01 22:14:49 |   c3 |    1.1 |   62.8 |   198.0 |        0 |    5.4 |    11.2
   64 | 2026-03-01 22:14:51 |   c1 |    1.1 |   53.1 |   139.5 |   568092 |    5.9 |     9.2
   64 | 2026-03-01 22:14:52 |   c2 |    2.1 |   41.4 |   136.5 |   487282 |    5.9 |    26.5
   64 | 2026-03-01 22:14:53 |   c3 |    1.1 |   64.0 |   201.7 |   919370 |    5.3 |    15.8
   65 | 2026-03-01 22:14:54 |   c1 |    6.1 |   53.3 |   140.0 |   125490 |    5.8 |    27.3
   65 | 2026-03-01 22:14:55 |   c2 |    2.1 |   41.5 |   136.8 |    68778 |    5.8 |    40.8
   65 | 2026-03-01 22:14:57 |   c3 |    1.1 |   64.1 |   201.9 |    50822 |    5.3 |    12.7
   66 | 2026-03-01 22:14:58 |   c1 |    2.1 |   53.6 |   140.9 |   253717 |    5.8 |    11.5
   66 | 2026-03-01 22:14:59 |   c2 |    2.1 |   41.8 |   137.9 |   304603 |    5.8 |    17.1
   66 | 2026-03-01 22:15:00 |   c3 |    3.2 |   64.9 |   204.5 |   700658 |    5.2 |    42.3
   67 | 2026-03-01 22:15:02 |   c1 |    3.1 |   54.0 |   141.7 |   211177 |    5.8 |     8.0
   67 | 2026-03-01 22:15:03 |   c2 |    5.9 |   42.0 |   138.6 |   186068 |    5.7 |    15.6
   67 | 2026-03-01 22:15:04 |   c3 |    2.1 |   65.3 |   205.7 |   330840 |    5.2 |    31.1
   68 | 2026-03-01 22:15:06 |   c1 |    1.9 |   54.2 |   142.3 |   164845 |    5.7 |     9.4
   68 | 2026-03-01 22:15:07 |   c2 |    1.1 |   42.2 |   139.2 |   154065 |    5.7 |    31.4
   68 | 2026-03-01 22:15:08 |   c3 |    4.7 |   65.5 |   206.4 |   197792 |    5.2 |    19.5
   69 | 2026-03-01 22:15:10 |   c1 |    3.8 |   54.6 |   143.3 |   243940 |    5.7 |     8.4
