
(venv) root@vbox:/home/vboxuser/lstm/codes# python collect_data.py
==========================================================================================
  Floodlight 3-Controller Metrik Toplama
  Log: real_time_metrics.log | Ctrl+C ile durdur
==========================================================================================
    # |               Zaman | Ctrl |   CPU% |   Mem% |  HeapMB |    HGrow |  pCPU% |     RTT
------------------------------------------------------------------------------------------
   39 | 2026-03-02 23:14:26 |   c1 |   12.3 |   42.0 |   112.1 |   891870 |   80.4 |    10.1
   39 | 2026-03-02 23:14:26 |   c2 |   41.9 |   63.5 |   366.5 |   424185 |    1.9 |     3.8
   39 | 2026-03-02 23:14:26 |   c3 |   41.0 |   47.0 |   300.8 |  1093079 |    1.9 |     2.6
   40 | 2026-03-02 23:14:27 |   c1 |   11.6 |   42.0 |   112.2 |   107125 |   70.3 |    10.0
   40 | 2026-03-02 23:14:27 |   c2 |   44.6 |   63.6 |   366.9 |   406741 |    1.9 |     3.0
   40 | 2026-03-02 23:14:27 |   c3 |   41.5 |   47.3 |   302.6 |  1739975 |    1.9 |     2.7
   41 | 2026-03-02 23:14:28 |   c1 |   10.1 |   42.0 |   112.2 |        0 |   63.0 |    14.9
   41 | 2026-03-02 23:14:28 |   c2 |   45.0 |   63.6 |   366.9 |        0 |    1.9 |     2.8
   41 | 2026-03-02 23:14:28 |   c3 |   43.2 |   47.3 |   302.6 |        0 |    1.9 |     2.7
   42 | 2026-03-02 23:14:29 |   c1 |   12.8 |   42.2 |   112.5 |   341121 |   57.3 |     7.8
   42 | 2026-03-02 23:14:29 |   c2 |   44.2 |   63.6 |   367.3 |   418071 |    1.9 |     3.0
   42 | 2026-03-02 23:14:29 |   c3 |   44.4 |   47.3 |   302.6 |        0 |    1.9 |     4.5
   43 | 2026-03-02 23:14:30 |   c1 |   12.5 |   42.4 |   113.2 |   610921 |   52.0 |     8.3
   43 | 2026-03-02 23:14:30 |   c2 |   43.2 |   63.8 |   368.2 |   801170 |    1.9 |     3.3
   43 | 2026-03-02 23:14:30 |   c3 |   44.2 |   47.3 |   302.6 |        0 |    1.9 |     2.9
   44 | 2026-03-02 23:14:31 |   c1 |   12.4 |   43.4 |   115.9 |  2803005 |   48.5 |     6.1
   44 | 2026-03-02 23:14:31 |   c2 |   42.9 |   63.9 |   368.6 |   436755 |    1.9 |     2.6
   44 | 2026-03-02 23:14:31 |   c3 |   43.2 |   47.3 |   302.6 |        0 |    1.9 |     2.5
   45 | 2026-03-02 23:14:32 |   c1 |   18.4 |   47.9 |   127.8 | 12351466 |   46.8 |     5.0
   45 | 2026-03-02 23:14:32 |   c2 |   39.6 |   63.9 |   368.6 |        0 |    1.9 |     2.7
   45 | 2026-03-02 23:14:32 |   c3 |   50.0 |   47.3 |   303.1 |   530189 |    1.9 |     2.8
   46 | 2026-03-02 23:14:33 |   c1 |   21.3 |   51.9 |   138.6 | 10693193 |   46.7 |     8.0
   46 | 2026-03-02 23:14:33 |   c2 |   51.3 |   63.9 |   368.6 |        0 |    1.9 |     2.6
   46 | 2026-03-02 23:14:33 |   c3 |   44.4 |   47.4 |   303.5 |   413465 |    1.9 |     2.6
   47 | 2026-03-02 23:14:34 |   c1 |   28.9 |   56.0 |   149.6 |  9946418 |   49.0 |    18.2
   47 | 2026-03-02 23:14:34 |   c2 |   62.5 |   63.9 |   369.0 |   363335 |    1.9 |     4.0
   47 | 2026-03-02 23:14:34 |   c3 |   49.0 |   47.4 |   303.5 |        0 |    1.9 |     2.8
   48 | 2026-03-02 23:14:35 |   c1 |   34.4 |   60.0 |   160.0 |  8016757 |   53.5 |     4.6
   48 | 2026-03-02 23:14:35 |   c2 |   78.6 |   64.2 |   370.7 |  1300956 |    1.9 |     3.3
   48 | 2026-03-02 23:14:36 |   c3 |   77.3 |   47.4 |   303.5 |        0 |    1.9 |     3.4
   49 | 2026-03-02 23:14:36 |   c1 |   30.3 |   68.0 |   181.5 | 19913961 |   58.8 |    17.2
   49 | 2026-03-02 23:14:37 |   c2 |   62.1 |   64.4 |   371.5 |   778505 |    1.9 |     2.2
   49 | 2026-03-02 23:14:37 |   c3 |   78.2 |   47.6 |   304.6 |   960281 |    1.9 |     3.2
   50 | 2026-03-02 23:14:38 |   c1 |   47.7 |   37.4 |   161.6 | -15721454 |   67.0 |    97.8
   50 | 2026-03-02 23:14:38 |   c2 |   62.3 |   64.4 |   371.9 |   282870 |    1.9 |     2.9
   50 | 2026-03-02 23:14:38 |   c3 |   59.6 |   47.7 |   305.7 |   673520 |    1.9 |     2.5
   51 | 2026-03-02 23:14:39 |   c1 |   51.2 |   40.3 |   174.4 |  7927353 |   76.3 |     6.2
   51 | 2026-03-02 23:14:40 |   c2 |   80.9 |   64.7 |   373.3 |   854524 |    1.9 |     3.2
   51 | 2026-03-02 23:14:40 |   c3 |   56.0 |   47.9 |   306.4 |   421299 |    1.9 |     2.9
   52 | 2026-03-02 23:14:41 |   c1 |   40.8 |   45.7 |   197.5 | 11216308 |   90.6 |     4.1
   52 | 2026-03-02 23:14:42 |   c2 |   98.4 |   64.7 |   373.7 |   158816 |    1.9 |     2.6
   52 | 2026-03-02 23:14:44 |   c3 |   94.2 |   47.9 |   306.9 |   128387 |    1.9 |     2.8
   53 | 2026-03-02 23:14:46 |   c1 |   88.9 |   59.6 |   255.8 | 11979504 |  125.0 |     6.9
   53 | 2026-03-02 23:14:48 |   c2 |   95.0 |   65.0 |   375.3 |   302626 |    1.9 |     2.4
   53 | 2026-03-02 23:14:50 |   c3 |  100.0 |   48.2 |   308.5 |   290792 |    1.9 |     3.8
   54 | 2026-03-02 23:14:52 |   c1 |   95.6 |   74.9 |   321.2 | 11745518 |  153.0 |    18.5
   54 | 2026-03-02 23:14:53 |   c2 |   90.2 |   65.3 |   376.8 |   271516 |    1.9 |     3.9
   54 | 2026-03-02 23:14:54 |   c3 |   76.6 |   48.3 |   309.0 |   111561 |    1.9 |     2.4
   55 | 2026-03-02 23:14:56 |   c1 |   97.7 |   71.9 |   345.9 |  6266095 |  166.0 |    11.5
   55 | 2026-03-02 23:14:56 |   c2 |   60.9 |   65.3 |   377.2 |   116444 |    1.9 |     4.9
   55 | 2026-03-02 23:14:58 |   c3 |   90.9 |   48.4 |   309.6 |   151076 |    1.9 |     2.8
   56 | 2026-03-02 23:15:04 |   c1 |   80.6 |   89.2 |   428.9 | 10537710 |  188.0 |    34.8
   56 | 2026-03-02 23:15:05 |   c2 |   50.9 |   65.6 |   378.9 |   208379 |    1.9 |     2.9
   56 | 2026-03-02 23:15:05 |   c3 |   83.0 |   48.5 |   310.5 |   144238 |    1.9 |     2.4
   57 | 2026-03-02 23:15:05 |   c1 |   16.3 |    0.0 |       - | -220254035 |    0.0 |     0.0
   57 | 2026-03-02 23:15:06 |   c2 |   22.7 |   65.6 |   378.9 |        0 |    1.9 |     3.6
   57 | 2026-03-02 23:15:06 |   c3 |   42.6 |   48.5 |   310.5 |        0 |    1.9 |     3.0
   58 | 2026-03-02 23:15:06 |   c1 |    9.5 |    0.0 |       - |        0 |    0.0 |     0.0
   58 | 2026-03-02 23:15:06 |   c2 |   20.0 |   65.6 |   378.9 |        0 |    1.9 |     3.6
   58 | 2026-03-02 23:15:07 |   c3 |   43.6 |   48.5 |   310.5 |        0 |    1.9 |     2.4
   59 | 2026-03-02 23:15:07 |   c1 |    9.0 |    0.0 |       - |        0 |    0.0 |     0.0
   59 | 2026-03-02 23:15:07 |   c2 |   27.3 |   65.6 |   378.9 |        0 |    1.9 |     3.2
   59 | 2026-03-02 23:15:08 |   c3 |   43.4 |   48.5 |   310.5 |        0 |    1.9 |     2.7
   60 | 2026-03-02 23:15:08 |   c1 |    8.6 |    0.0 |       - |        0 |    0.0 |     0.0
   60 | 2026-03-02 23:15:08 |   c2 |   21.1 |   65.7 |   379.3 |   459421 |    1.9 |     4.8
   60 | 2026-03-02 23:15:08 |   c3 |   40.0 |   48.6 |   311.1 |   609728 |    1.9 |     2.9
   61 | 2026-03-02 23:15:09 |   c1 |    8.2 |    0.0 |       - |        0 |    0.0 |     0.0
   61 | 2026-03-02 23:15:09 |   c2 |   28.6 |   65.7 |   379.3 |        0 |    1.9 |     3.1
   61 | 2026-03-02 23:15:09 |   c3 |   39.5 |   48.7 |   311.6 |   596031 |    1.9 |     3.4
   62 | 2026-03-02 23:15:10 |   c1 |    9.8 |    0.0 |       - |        0 |    0.0 |     0.0
   62 | 2026-03-02 23:15:10 |   c2 |   21.7 |   65.7 |   379.3 |        0 |    1.9 |     2.9
   62 | 2026-03-02 23:15:10 |   c3 |   36.8 |   48.7 |   311.6 |        0 |    1.9 |     3.3
   63 | 2026-03-02 23:15:11 |   c1 |    9.7 |    0.0 |       - |        0 |    0.0 |     0.0
   63 | 2026-03-02 23:15:11 |   c2 |   26.1 |   65.8 |   379.9 |   728488 |    1.9 |     4.2
   63 | 2026-03-02 23:15:11 |   c3 |   40.0 |   48.8 |   312.7 |  1185210 |    1.9 |     3.1
   64 | 2026-03-02 23:15:12 |   c1 |    9.0 |    0.0 |       - |        0 |    0.0 |     0.0
   64 | 2026-03-02 23:15:12 |   c2 |   22.2 |   65.8 |   379.9 |        0 |    1.9 |     3.3
   64 | 2026-03-02 23:15:12 |   c3 |   41.3 |   48.8 |   312.7 |        0 |    1.9 |     2.5
   65 | 2026-03-02 23:15:13 |   c1 |    8.7 |    0.0 |       - |        0 |    0.0 |     0.0
   65 | 2026-03-02 23:15:13 |   c2 |   24.0 |   65.8 |   379.9 |        0 |    1.9 |     6.1
   65 | 2026-03-02 23:15:13 |   c3 |   43.9 |   48.8 |   312.7 |        0 |    1.9 |     2.7
   66 | 2026-03-02 23:15:14 |   c1 |    8.9 |    0.0 |       - |        0 |    0.0 |     0.0
   66 | 2026-03-02 23:15:14 |   c2 |   28.6 |   65.9 |   380.3 |   473169 |    1.9 |     4.6
   66 | 2026-03-02 23:15:14 |   c3 |   45.6 |   48.8 |   312.7 |        0 |    1.9 |     6.7
   67 | 2026-03-02 23:15:15 |   c1 |   10.8 |    0.0 |       - |        0 |    0.0 |     0.0
   67 | 2026-03-02 23:15:15 |   c2 |   26.1 |   66.0 |   380.8 |   428053 |    1.9 |     4.6
   67 | 2026-03-02 23:15:15 |   c3 |   40.5 |   48.8 |   312.7 |        0 |    1.9 |     2.4
   68 | 2026-03-02 23:15:15 |   c1 |   11.3 |    0.0 |       - |        0 |    0.0 |     0.0
   68 | 2026-03-02 23:15:16 |   c2 |   25.9 |   66.0 |   381.2 |   461381 |    1.9 |     6.3
   68 | 2026-03-02 23:15:16 |   c3 |   44.2 |   48.8 |   312.7 |        0 |    1.9 |     2.9
   69 | 2026-03-02 23:15:16 |   c1 |   14.9 |    0.0 |       - |        0 |    0.0 |     0.0
